"platform_id","platform_domain","target_key","target_url","platform_decision","task_status","result_url","checked_at","notes"
"70","bourges.onvasortir.com","skillsignal","https://www.skillsignal.cc/","restricted_profile_route","blocked_registration_declaration","","2026-08-04","Signup requires a truthful non-business/non-advertising declaration"
"70","bourges.onvasortir.com","mcpradars","https://mcpradars.com/","restricted_profile_route","blocked_registration_declaration","","2026-08-04","Signup requires a truthful non-business/non-advertising declaration"
"70","bourges.onvasortir.com","chatgptimage2","https://www.chatgptimage2.xyz/","restricted_profile_route","blocked_registration_declaration","","2026-08-04","Signup requires a truthful non-business/non-advertising declaration"
"70","bourges.onvasortir.com","sundayarcade","https://sundayarcade.com/","restricted_profile_route","blocked_registration_declaration","","2026-08-04","Signup requires a truthful non-business/non-advertising declaration"
"70","bourges.onvasortir.com","knitblog","https://knitblog.cc/","restricted_profile_route","blocked_registration_declaration","","2026-08-04","Signup requires a truthful non-business/non-advertising declaration"
"71","blog.cookaround.com","skillsignal","https://www.skillsignal.cc/","profile_audit","pending_profile_field_audit","","2026-08-04","Inspect community profile/blog account and URL field"
"71","blog.cookaround.com","mcpradars","https://mcpradars.com/","profile_audit","pending_profile_field_audit","","2026-08-04","Inspect community profile/blog account and URL field"
"71","blog.cookaround.com","chatgptimage2","https://www.chatgptimage2.xyz/","profile_audit","pending_profile_field_audit","","2026-08-04","Inspect community profile/blog account and URL field"
"71","blog.cookaround.com","sundayarcade","https://sundayarcade.com/","profile_audit","pending_profile_field_audit","","2026-08-04","Inspect community profile/blog account and URL field"
"71","blog.cookaround.com","knitblog","https://knitblog.cc/","profile_audit","pending_profile_field_audit","","2026-08-04","Inspect community profile/blog account and URL field"
"73","www.thaiticketmajor.com","skillsignal","https://www.skillsignal.cc/","profile_audit","pending_profile_field_audit","","2026-08-04","Inspect member account profile for public website field"
"73","www.thaiticketmajor.com","mcpradars","https://mcpradars.com/","profile_audit","pending_profile_field_audit","","2026-08-04","Inspect member account profile for public website field"
"73","www.thaiticketmajor.com","chatgptimage2","https://www.chatgptimage2.xyz/","profile_audit","pending_profile_field_audit","","2026-08-04","Inspect member account profile for public website field"
"73","www.thaiticketmajor.com","sundayarcade","https://sundayarcade.com/","profile_audit","pending_profile_field_audit","","2026-08-04","Inspect member account profile for public website field"
"73","www.thaiticketmajor.com","knitblog","https://knitblog.cc/","profile_audit","pending_profile_field_audit","","2026-08-04","Inspect member account profile for public website field"
"74","www.riskresiliencelab.paloaltou.edu","skillsignal","https://www.skillsignal.cc/","profile_audit","pending_profile_field_audit","","2026-08-04","Inspect Wix member/login surfaces and author profiles"
"74","www.riskresiliencelab.paloaltou.edu","mcpradars","https://mcpradars.com/","profile_audit","pending_profile_field_audit","","2026-08-04","Inspect Wix member/login surfaces and author profiles"
"74","www.riskresiliencelab.paloaltou.edu","chatgptimage2","https://www.chatgptimage2.xyz/","profile_audit","pending_profile_field_audit","","2026-08-04","Inspect Wix member/login surfaces and author profiles"
"74","www.riskresiliencelab.paloaltou.edu","sundayarcade","https://sundayarcade.com/","profile_audit","pending_profile_field_audit","","2026-08-04","Inspect Wix member/login surfaces and author profiles"
"74","www.riskresiliencelab.paloaltou.edu","knitblog","https://knitblog.cc/","profile_audit","pending_profile_field_audit","","2026-08-04","Inspect Wix member/login surfaces and author profiles"
"75","www.extradom.pl","skillsignal","https://www.skillsignal.cc/","private_account_route","blocked_no_public_profile_signal","","2026-08-04","Account is described only for favorites, downloads, and order history"
"75","www.extradom.pl","mcpradars","https://mcpradars.com/","private_account_route","blocked_no_public_profile_signal","","2026-08-04","Account is described only for favorites, downloads, and order history"
"75","www.extradom.pl","chatgptimage2","https://www.chatgptimage2.xyz/","private_account_route","blocked_no_public_profile_signal","","2026-08-04","Account is described only for favorites, downloads, and order history"
"75","www.extradom.pl","sundayarcade","https://sundayarcade.com/","private_account_route","blocked_no_public_profile_signal","","2026-08-04","Account is described only for favorites, downloads, and order history"
"75","www.extradom.pl","knitblog","https://knitblog.cc/","private_account_route","blocked_no_public_profile_signal","","2026-08-04","Account is described only for favorites, downloads, and order history"
"77","decidim.u-pec.fr","skillsignal","https://www.skillsignal.cc/","profile_single_link","brand_mention_only_pending_clickable_profile","https://decidim.u-pec.fr/profiles/colaice/timeline","2026-08-04","URL is plain text in About; not counted as a backlink"
"77","decidim.u-pec.fr","mcpradars","https://mcpradars.com/","profile_single_link","published_verified_nofollow_ugc","https://decidim.u-pec.fr/profiles/colaice/timeline","2026-08-04","Clickable Personal website link; rel=nofollow noopener noreferrer ugc"
"77","decidim.u-pec.fr","chatgptimage2","https://www.chatgptimage2.xyz/","profile_single_link","brand_mention_only_pending_clickable_profile","https://decidim.u-pec.fr/profiles/colaice/timeline","2026-08-04","URL is plain text in About; not counted as a backlink"
"77","decidim.u-pec.fr","sundayarcade","https://sundayarcade.com/","profile_single_link","brand_mention_only_pending_clickable_profile","https://decidim.u-pec.fr/profiles/colaice/timeline","2026-08-04","URL is plain text in About; not counted as a backlink"
"77","decidim.u-pec.fr","knitblog","https://knitblog.cc/","profile_single_link","brand_mention_only_pending_clickable_profile","https://decidim.u-pec.fr/profiles/colaice/timeline","2026-08-04","URL is plain text in About; not counted as a backlink"
"81","feedback.jobplanet.co.kr","skillsignal","https://www.skillsignal.cc/","inaccessible","blocked_inaccessible","","2026-08-04","403 scripted request and ERR_CONNECTION_CLOSED in Chrome"
"81","feedback.jobplanet.co.kr","mcpradars","https://mcpradars.com/","inaccessible","blocked_inaccessible","","2026-08-04","403 scripted request and ERR_CONNECTION_CLOSED in Chrome"
"81","feedback.jobplanet.co.kr","chatgptimage2","https://www.chatgptimage2.xyz/","inaccessible","blocked_inaccessible","","2026-08-04","403 scripted request and ERR_CONNECTION_CLOSED in Chrome"
"81","feedback.jobplanet.co.kr","sundayarcade","https://sundayarcade.com/","inaccessible","blocked_inaccessible","","2026-08-04","403 scripted request and ERR_CONNECTION_CLOSED in Chrome"
